"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display","Numeric","Low","High","Comments"
"CYCU","WHS7_108","PUBLISHED","2007","WPR","FJI","127.5","127.5",,,
"CYCU","WHS7_108","PUBLISHED","2005","WPR","MHL","257.1","257.07",,,
"CYCU","WHS7_108","PUBLISHED","1999","WPR","VUT","83.9","83.85",,,
"CYCU","WHS7_108","PUBLISHED","1996","AMR","GRD","165.9","165.89",,,
"CYCU","WHS7_105","PUBLISHED","2003","EUR","ITA","2238.8","2238.82",,,
"CYCU","WHS7_105","PUBLISHED","2012","WPR","LAO","84.4","84.37",,,
"CYCU","WHS7_105","PUBLISHED","2002","AMR","BRA","530.5","530.54",,,
"CYCU","WHS7_105","PUBLISHED","1995","AMR","CAN","2054.1","2054.05",,,
"CYCU","WHS7_104","PUBLISHED","1999","AMR","GUY","35.8","35.77",,,
"CYCU","WHS7_156","PUBLISHED","2004","AFR","BDI","8.8","8.8",,,
"CYCU","WHS7_108","PUBLISHED","1995","AFR","BFA","10.8","10.75",,,
"CYCU","WHS7_108","PUBLISHED","2011","AFR","ERI","8.3","8.29",,,
"CYCU","WHS7_105","PUBLISHED","1998","AFR","SEN","47.8","47.82",,,
"CYCU","WHS7_104","PUBLISHED","2000","EUR","GRC","551.1","551.12",,,
"CYCU","WHS7_108","PUBLISHED","2007","EUR","NOR","4109.6","4109.64",,,
"CYCU","WHS7_108","PUBLISHED","1998","EUR","FIN","1202.5","1202.46",,,
"CYCU","WHS7_156","PUBLISHED","2010","EUR","DNK","6266.0","6265.97",,,
"CYCU","WHS7_104","PUBLISHED","2010","AMR","CAN","3731.4","3731.43",,,
"CYCU","WHS7_105","PUBLISHED","2010","AMR","CRI","1118.8","1118.78",,,
"CYCU","WHS7_108","PUBLISHED","2010","AMR","DOM","256.3","256.3",,,
"CYCU","WHS7_156","PUBLISHED","1999","WPR","MYS","103.5","103.45",,,
"CYCU","WHS7_105","PUBLISHED","1999","WPR","NZL","1519.2","1519.23",,,
"CYCU","WHS7_105","PUBLISHED","2008","AMR","KNA","782.0","781.96",,,
"CYCU","WHS7_104","PUBLISHED","2006","AFR","STP","22.1","22.09",,,
"CYCU","WHS7_105","PUBLISHED","2000","AMR","GRD","476.0","475.95",,,
"CYCU","WHS7_156","PUBLISHED","2001","WPR","PNG","25.2","25.21",,,
"CYCU","WHS7_104","PUBLISHED","2009","EUR","BLR","201.2","201.23",,,
"CYCU","WHS7_104","PUBLISHED","2006","EUR","MDA","44.8","44.8",,,
"CYCU","WHS7_104","PUBLISHED","2012","AFR","SYC","485.9","485.93",,,
"CYCU","WHS7_105","PUBLISHED","2003","WPR","VUT","118.0","117.99",,,
"CYCU","WHS7_156","PUBLISHED","2009","EUR","KGZ","60.5","60.53",,,
"CYCU","WHS7_108","PUBLISHED","1995","EMR","OMN","394.8","394.84",,,
"CYCU","WHS7_108","PUBLISHED","1999","EUR","BLR","222.6","222.6",,,
"CYCU","WHS7_108","PUBLISHED","2008","EUR","SMR","3111.7","3111.68",,,
"CYCU","WHS7_104","PUBLISHED","1996","EMR","PAK","4.2","4.21",,,
"CYCU","WHS7_105","PUBLISHED","1995","AMR","ATG","581.2","581.17",,,
"CYCU","WHS7_105","PUBLISHED","2009","AFR","CMR","108.1","108.13",,,
"CYCU","WHS7_104","PUBLISHED","1999","AFR","CIV","14.1","14.1",,,
"CYCU","WHS7_108","PUBLISHED","1997","AMR","BOL","86.5","86.52",,,
"CYCU","WHS7_104","PUBLISHED","2000","SEAR","LKA","15.7","15.69",,,
"CYCU","WHS7_105","PUBLISHED","1995","AMR","PRY","240.5","240.46",,,
"CYCU","WHS7_108","PUBLISHED","2006","EUR","CHE","2489.7","2489.65",,,
